group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1032825756.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1028226549.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1029386939.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1033698619.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1029965323.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1030594689.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1030461482.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1031193482.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1032114113.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,1031291135.0,ns,1
