group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1398084362.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397390865.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397630601.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1398234641.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397667358.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397796228.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397435467.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397680585.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1396873689.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 25 | Fib N: 30 | Cutoff: 25,,,1397751834.0,ns,1
