group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,104315685.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,257610552.0,ns,2
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,386878729.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,491976388.0,ns,4
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,620205397.0,ns,5
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,774414268.0,ns,6
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,903211546.0,ns,7
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,1011488709.0,ns,8
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,1139030694.0,ns,9
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0.5,,,1293649371.0,ns,10
