group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382969106.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382907277.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382906235.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382599223.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1394530982.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1383270408.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382928700.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382887292.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382845835.0,ns,1
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 25,,,1382464768.0,ns,1
