group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,9056118030.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8970207493.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8983578549.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,9015051005.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,9028719689.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8957516729.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8926313531.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,9028170604.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8906165351.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 100 | Cores: 65 | Fib N: 30 | Cutoff: 25,,,8941457375.0,ns,1
