group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15329647274.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15323208386.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15322577159.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15333631678.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15331685129.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15327854951.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15327325747.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15326749900.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15328155851.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 25 | Latency p: 0,,,15327788768.0,ns,1
