group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,902777713.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,903154671.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,902633155.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,903530283.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,903206699.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,903015480.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,902995849.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,902544767.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,903171961.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 100 | Latency p: 0,,,902648798.0,ns,1
