group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1381804550.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1381880087.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1381839053.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1381820804.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382497137.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382518845.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382488485.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382350379.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382491457.0,ns,1
Old vs New Rayon,Serial,Length: 200 | Latency ms: 0 | Cores: 1 | Fib N: 30 | Cutoff: 20,,,1382498086.0,ns,1
