group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164205176.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164295383.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164656341.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1165726415.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164787566.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164795075.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164813737.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1175424428.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164603982.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 30 | Fib N: 30 | Cutoff: 25,,,1164663616.0,ns,1
