group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,9037661525.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,9018313178.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,8908639097.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,8954821943.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,9064404486.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,9014666413.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,8964023432.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,8936953949.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,8951847158.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 35 | Fib N: 30 | Cutoff: 25,,,9028173197.0,ns,1
