group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,123092179.0,ns,3
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,243268613.0,ns,6
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,367250828.0,ns,9
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,486746930.0,ns,12
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,608540722.0,ns,15
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,729220922.0,ns,18
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,851469320.0,ns,21
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,972036251.0,ns,24
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,1095736466.0,ns,27
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,1215716045.0,ns,30
