group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,153581380.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,259482341.0,ns,2
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,462579582.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,568109572.0,ns,4
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,722595469.0,ns,5
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,882260992.0,ns,6
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,1033562524.0,ns,7
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,1230214707.0,ns,8
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,1293839808.0,ns,9
Fib Parameter Sweep,Latency Hiding,Work ms: 50 | Latency p: 0.75,,,1353677435.0,ns,10
