group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6386395698.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6297146647.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6366912949.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6400717638.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6374368264.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6378766401.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6372907203.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6393441252.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6336373393.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 50 | Fib N: 30 | Cutoff: 25,,,6333049296.0,ns,1
