group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11980215742.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11984160184.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11984281230.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11981461098.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11986495504.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11983260826.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11983534600.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11982799300.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11984999178.0,ns,1
Old vs New Rayon,Serial,Length: 150 | Latency ms: 0 | Cores: 1 | Fib N: 35 | Cutoff: 25,,,11980644533.0,ns,1
