group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6978268143.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6979115431.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6979840673.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6980496508.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6977320069.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6980921654.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6979200896.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6978047678.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6978446282.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,6976699451.0,ns,1
