group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,86690479.0,ns,18
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,175799928.0,ns,36
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,270345386.0,ns,54
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,367703575.0,ns,72
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,459938401.0,ns,90
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,545137365.0,ns,108
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,638033503.0,ns,126
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,735546763.0,ns,144
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,857604009.0,ns,162
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 1,,,908778607.0,ns,180
