group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1403631627.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1404979033.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1405172607.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1403459531.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1404399107.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1404011763.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1405096372.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1403749664.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1404363444.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.25,,,1403648362.0,ns,1
