group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61078239837.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61080096325.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61079783836.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61077216700.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61081831004.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61082872519.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61081750354.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61078938801.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61084877700.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 100 | Latency p: 0,,,61079421541.0,ns,1
