group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564003345.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,563989063.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564397083.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564018606.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564297529.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564148971.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,563996821.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564836518.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564049850.0,ns,2
Old vs New Rayon,Old Rayon,Length: 200 | Latency ms: 0 | Cores: 5 | Fib N: 30 | Cutoff: 25,,,564177817.0,ns,2
