group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803011235.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803571124.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803009068.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1802977207.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803055582.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1802491411.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803572425.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1802975423.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803715989.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 200 | Latency p: 0,,,1803289579.0,ns,1
