group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683697167.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683129670.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683013644.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683724751.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683873516.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,686194130.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,684730945.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,683658014.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,682612723.0,ns,3
Fib Parameter Sweep,Latency Hiding,Work ms: 25 | Latency p: 0,,,684577186.0,ns,3
