group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,94377252.0,ns,8
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,186784167.0,ns,16
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,284241449.0,ns,24
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,380490696.0,ns,32
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,465076815.0,ns,40
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,565161794.0,ns,48
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,662917679.0,ns,56
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,758007928.0,ns,64
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,847729988.0,ns,72
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0,,,944096335.0,ns,80
