group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,21625245002.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,21308249584.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20857958051.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20826147957.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,21018423279.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20786943795.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20718162114.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20657410393.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20686520644.0,ns,1
MapReduce Fib,Classic,Length: 5000 | Latency ms: 50 | Cores: 15 | Fib N: 30 | Cutoff: 25,,,20666069546.0,ns,1
