group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004374403.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004609698.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004490888.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1003865526.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004338620.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1012449613.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004856118.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004434202.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,804320631.0,ns,1
Fib Parameter Sweep,Latency Hiding,Work ms: 200 | Latency p: 0.5,,,1004612287.0,ns,1
