group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903149831.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902431728.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903004772.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902897236.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902727611.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903159774.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902339145.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902170197.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902684135.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903014605.0,ns,1
